Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
10245,13.8,No Different than U.S. National Rate,10.1,18.7,104,16,No Different than U.S. National Rate,12.7,20.1,114
10246,12.3,No Different than U.S. National Rate,8.7,17.1,74,18.3,No Different than U.S. National Rate,14.3,22.8,91
10247,11.2,No Different than U.S. National Rate,8.3,14.8,196,21,No Different than U.S. National Rate,17.1,25.7,206
10248,15.3,No Different than U.S. National Rate,11.1,20.9,91,19.1,No Different than U.S. National Rate,15,23.6,85
10249,12.4,No Different than U.S. National Rate,9.5,15.8,178,18.1,No Different than U.S. National Rate,14.8,22,188
10250,9.9,No Different than U.S. National Rate,7,13.6,137,18.7,No Different than U.S. National Rate,15,22.9,152
10251,16.7,Worse than U.S. National Rate,12.9,21.1,135,16.9,No Different than U.S. National Rate,13.5,20.8,139
10252,12,No Different than U.S. National Rate,8.8,16.3,130,16.2,No Different than U.S. National Rate,12.9,20.2,132
10253,13.4,No Different than U.S. National Rate,10.3,17.4,185,18.3,No Different than U.S. National Rate,14.8,22.4,194
10254,13,No Different than U.S. National Rate,9.1,18,72,18.7,No Different than U.S. National Rate,14.6,23.8,73
10255,10.8,No Different than U.S. National Rate,7.6,15.4,68,19,No Different than U.S. National Rate,15,23.6,77
10256,15.7,No Different than U.S. National Rate,11.7,20.9,134,18.9,No Different than U.S. National Rate,15.2,23.3,144
10257,12.8,No Different than U.S. National Rate,9.3,17.3,103,19.2,No Different than U.S. National Rate,15.3,23.4,114
10258,11.6,No Different than U.S. National Rate,8.6,15.4,134,20.3,No Different than U.S. National Rate,16.6,24.9,148
10259,12.3,No Different than U.S. National Rate,8.7,17.2,58,18.3,No Different than U.S. National Rate,14.4,23.2,62
10260,12.6,No Different than U.S. National Rate,9.2,17.2,107,15.7,No Different than U.S. National Rate,12.3,20.1,100
10261,14.3,No Different than U.S. National Rate,10.4,19.4,137,18.1,No Different than U.S. National Rate,14.3,22.3,128
10262,15.2,No Different than U.S. National Rate,11.1,20.5,85,17.8,No Different than U.S. National Rate,14.1,22.3,84
10263,11.7,No Different than U.S. National Rate,8.5,16.1,82,19.6,No Different than U.S. National Rate,15.7,24.3,83
10264,12.7,No Different than U.S. National Rate,9.6,16.7,191,18.6,No Different than U.S. National Rate,15.2,22.5,208
10265,14,No Different than U.S. National Rate,10.7,17.7,135,20.3,No Different than U.S. National Rate,16.6,24.6,141
10266,12.4,No Different than U.S. National Rate,9.4,16.3,163,17.3,No Different than U.S. National Rate,14,21.3,173
10267,11.3,No Different than U.S. National Rate,8.1,15.3,114,17.8,No Different than U.S. National Rate,14.3,22.3,117
10268,12,No Different than U.S. National Rate,8.6,16.4,104,20.7,No Different than U.S. National Rate,16.5,25.6,110
10269,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10270,10.3,No Different than U.S. National Rate,7.4,14.3,112,18.2,No Different than U.S. National Rate,14.7,22.6,113
10271,11.9,No Different than U.S. National Rate,9.1,15.7,188,15.3,No Different than U.S. National Rate,12.4,19.1,187
10272,10.4,No Different than U.S. National Rate,8.3,12.9,387,19.9,No Different than U.S. National Rate,16.8,23.2,400
10273,10.8,No Different than U.S. National Rate,7.6,15.1,60,18.6,No Different than U.S. National Rate,14.5,23.4,64
10274,11.1,No Different than U.S. National Rate,8.9,13.9,315,16.3,No Different than U.S. National Rate,13.5,19.4,322
10275,9.3,No Different than U.S. National Rate,6.6,12.7,124,19.5,No Different than U.S. National Rate,15.9,23.6,145
10276,12.7,No Different than U.S. National Rate,9.5,16.9,168,18.2,No Different than U.S. National Rate,14.7,22.4,169
10277,11.6,No Different than U.S. National Rate,8.6,15.2,152,17.6,No Different than U.S. National Rate,14.3,21.9,158
10278,13.4,No Different than U.S. National Rate,10.7,16.5,282,18.5,No Different than U.S. National Rate,15.6,21.9,298
10279,9.8,No Different than U.S. National Rate,7.3,12.9,127,18.8,No Different than U.S. National Rate,15.4,22.9,124
10280,11.9,No Different than U.S. National Rate,9.5,14.7,288,19.4,No Different than U.S. National Rate,16.5,22.8,301
10281,8.7,Better than U.S. National Rate,6.5,11.4,200,18,No Different than U.S. National Rate,14.9,21.4,212
10282,9.2,No Different than U.S. National Rate,7,12,218,20.4,No Different than U.S. National Rate,17.1,24,271
10283,13,No Different than U.S. National Rate,10.7,15.5,535,18.8,No Different than U.S. National Rate,16.3,21.5,549
10284,15.5,No Different than U.S. National Rate,11.7,20.1,152,17.2,No Different than U.S. National Rate,13.8,21.2,151
10285,8.3,Better than U.S. National Rate,6.6,10.3,410,21.7,No Different than U.S. National Rate,18.5,24.8,432
10286,12.3,No Different than U.S. National Rate,9.7,15.5,293,20.2,No Different than U.S. National Rate,17.1,23.5,294
10287,13.3,No Different than U.S. National Rate,9.9,18,119,16.4,No Different than U.S. National Rate,13.2,20.5,151
10288,10.4,No Different than U.S. National Rate,8.6,12.4,678,19.1,No Different than U.S. National Rate,16.7,21.9,692
10289,12,No Different than U.S. National Rate,8.3,17.1,55,18.9,No Different than U.S. National Rate,15.1,23.4,55
10290,11.8,No Different than U.S. National Rate,9,15.4,205,16.5,No Different than U.S. National Rate,13.5,20.2,227
10291,10.9,No Different than U.S. National Rate,8.7,13.4,342,20.6,No Different than U.S. National Rate,17.5,23.8,362
10292,13.5,No Different than U.S. National Rate,10.7,16.7,260,18.5,No Different than U.S. National Rate,15.4,22.1,267
10293,10.8,No Different than U.S. National Rate,7.3,15.5,62,16.4,No Different than U.S. National Rate,12.8,21.1,67
10294,9.8,No Different than U.S. National Rate,7.7,12.4,310,18.4,No Different than U.S. National Rate,15.4,21.7,349
10295,16.9,Worse than U.S. National Rate,13.7,20.6,193,19,No Different than U.S. National Rate,15.7,22.9,197
10296,12.1,No Different than U.S. National Rate,8.8,16.4,125,19.4,No Different than U.S. National Rate,15.7,23.9,129
10297,18.1,Worse than U.S. National Rate,15.2,21.3,363,20.5,No Different than U.S. National Rate,17.2,23.8,316
10298,13.9,No Different than U.S. National Rate,11.8,16.2,789,17,No Different than U.S. National Rate,15,19.5,786
10299,10.9,No Different than U.S. National Rate,8.7,13.6,343,17.3,No Different than U.S. National Rate,14.6,20.4,333
10300,13.9,No Different than U.S. National Rate,11.3,16.9,413,22.4,Worse than U.S. National Rate,19,25.6,444
10301,10,No Different than U.S. National Rate,7.9,12.7,256,18.1,No Different than U.S. National Rate,15.1,21.5,258
10302,15,No Different than U.S. National Rate,11,20.7,71,18.5,No Different than U.S. National Rate,14.5,23.5,66
10303,14.5,No Different than U.S. National Rate,11.6,17.9,247,16.9,No Different than U.S. National Rate,14.1,20.5,264
10304,Not Available,Number of Cases Too Small,Not Available,Not Available,14,Not Available,Number of Cases Too Small,Not Available,Not Available,15
10305,Not Available,Number of Cases Too Small,Not Available,Not Available,10,Not Available,Number of Cases Too Small,Not Available,Not Available,12
10306,Not Available,Number of Cases Too Small,Not Available,Not Available,7,Not Available,Number of Cases Too Small,Not Available,Not Available,9
10307,13.9,No Different than U.S. National Rate,9.7,19.2,32,18.4,No Different than U.S. National Rate,13.9,23.7,29
10308,Not Available,Number of Cases Too Small,Not Available,Not Available,20,Not Available,Number of Cases Too Small,Not Available,Not Available,22
10309,Not Available,Number of Cases Too Small,Not Available,Not Available,8,Not Available,Number of Cases Too Small,Not Available,Not Available,7
10310,10.7,No Different than U.S. National Rate,8.8,12.7,575,19.7,No Different than U.S. National Rate,17,22.3,585
10311,12.3,No Different than U.S. National Rate,9.1,16.2,153,18.1,No Different than U.S. National Rate,14.8,22.1,150
10312,12.9,No Different than U.S. National Rate,10.1,16.2,206,19.3,No Different than U.S. National Rate,15.9,23.1,201
10313,13.6,No Different than U.S. National Rate,11.3,16.5,412,18.4,No Different than U.S. National Rate,15.7,21.3,401
10314,16.7,Worse than U.S. National Rate,14.4,19.2,619,17.6,No Different than U.S. National Rate,15.3,20.3,595
10315,10.5,No Different than U.S. National Rate,7.8,13.8,118,17.8,No Different than U.S. National Rate,14.4,21.8,120
10316,10.8,No Different than U.S. National Rate,7.8,14.7,105,16.2,No Different than U.S. National Rate,12.8,20.6,105
10317,11.4,No Different than U.S. National Rate,7.7,16.1,45,19.8,No Different than U.S. National Rate,15.6,24.8,46
10318,14.4,Worse than U.S. National Rate,12.7,16.2,1090,18.1,No Different than U.S. National Rate,16,20.3,1062
10319,Not Available,Number of Cases Too Small,Not Available,Not Available,2,Not Available,Number of Cases Too Small,Not Available,Not Available,2
10320,11.1,No Different than U.S. National Rate,8.9,13.6,410,16.4,No Different than U.S. National Rate,14,19.2,440
10321,12.9,No Different than U.S. National Rate,10.7,15.9,441,17.1,No Different than U.S. National Rate,14.4,20.2,438
10322,12.6,No Different than U.S. National Rate,9.7,16,106,17.2,No Different than U.S. National Rate,13.8,21.2,107
10323,12.2,No Different than U.S. National Rate,9.5,15.3,191,20.4,No Different than U.S. National Rate,17,24.3,204
10324,9.3,No Different than U.S. National Rate,7.2,12,210,18,No Different than U.S. National Rate,14.9,21.4,217
10325,9.9,No Different than U.S. National Rate,7.2,13.3,98,18.1,No Different than U.S. National Rate,14.7,22,104
10326,13.4,No Different than U.S. National Rate,10.5,16.9,259,17.2,No Different than U.S. National Rate,14.2,20.5,270
10327,10.4,No Different than U.S. National Rate,8.2,12.8,380,17.6,No Different than U.S. National Rate,15,20.7,432
10328,17,Worse than U.S. National Rate,13.3,21.3,163,16.4,No Different than U.S. National Rate,13,20.6,144
10329,11.7,No Different than U.S. National Rate,8.8,15.5,86,19,No Different than U.S. National Rate,15.3,23.1,76
10330,9.7,Better than U.S. National Rate,7.8,11.9,356,21.1,No Different than U.S. National Rate,17.9,24.3,382
10331,13.6,No Different than U.S. National Rate,9.7,18.9,28,18.7,No Different than U.S. National Rate,14.5,23.7,25
10332,13.2,No Different than U.S. National Rate,10.4,16.8,241,17.1,No Different than U.S. National Rate,14.2,20.7,264
10333,9.2,Better than U.S. National Rate,7.2,11.5,302,18.3,No Different than U.S. National Rate,15.5,21.5,309
10334,9.8,No Different than U.S. National Rate,7.3,12.9,183,21.9,No Different than U.S. National Rate,18,26.1,188
10335,12.3,No Different than U.S. National Rate,10.1,15.1,459,18.9,No Different than U.S. National Rate,16,22.1,451
10336,12.8,No Different than U.S. National Rate,9.9,16.6,163,18.1,No Different than U.S. National Rate,14.6,22,162
10337,12.8,No Different than U.S. National Rate,10,16.1,222,18,No Different than U.S. National Rate,14.9,21.8,217
10338,11.4,No Different than U.S. National Rate,9.1,14.2,425,18.4,No Different than U.S. National Rate,15.6,21.3,412
10339,11.2,No Different than U.S. National Rate,9,13.9,246,19.2,No Different than U.S. National Rate,16.1,22.6,245
10340,14.6,No Different than U.S. National Rate,11.1,18.8,108,17.5,No Different than U.S. National Rate,14,21.7,108
10341,14.5,Worse than U.S. National Rate,12.1,17.4,483,16,No Different than U.S. National Rate,13.6,18.9,539
10342,10.1,No Different than U.S. National Rate,7.7,13.1,226,16.7,No Different than U.S. National Rate,13.8,19.9,244
10343,12.6,No Different than U.S. National Rate,9,17.1,81,17.8,No Different than U.S. National Rate,14.2,22.1,82
10344,9.8,Better than U.S. National Rate,8.1,11.9,379,21,No Different than U.S. National Rate,18,24,397
10345,15.2,Worse than U.S. National Rate,12.9,17.6,701,18.3,No Different than U.S. National Rate,16,20.9,719
10346,10.5,No Different than U.S. National Rate,7.7,14.1,85,17.5,No Different than U.S. National Rate,14.3,21.2,86
10347,14,No Different than U.S. National Rate,10.9,17.4,190,17.6,No Different than U.S. National Rate,14.5,21.2,198
10348,13.3,No Different than U.S. National Rate,9.2,18.4,26,Not Available,Number of Cases Too Small,Not Available,Not Available,19
10349,Not Available,Number of Cases Too Small,Not Available,Not Available,12,Not Available,Number of Cases Too Small,Not Available,Not Available,12
10350,Not Available,Number of Cases Too Small,Not Available,Not Available,16,Not Available,Number of Cases Too Small,Not Available,Not Available,13
10351,11.4,No Different than U.S. National Rate,8,16.1,43,17.4,No Different than U.S. National Rate,13.7,22,50
10352,12.3,No Different than U.S. National Rate,10.1,14.9,500,18.3,No Different than U.S. National Rate,15.5,21.5,496
10353,12.3,No Different than U.S. National Rate,8.7,17,68,17.9,No Different than U.S. National Rate,14.3,22.3,65
10354,10.9,No Different than U.S. National Rate,8.5,13.7,304,21,No Different than U.S. National Rate,17.7,24.5,363
10355,14.7,No Different than U.S. National Rate,11.6,18.1,209,18.8,No Different than U.S. National Rate,15.6,22.8,209
10356,13.4,No Different than U.S. National Rate,11,16.1,399,17.7,No Different than U.S. National Rate,14.9,20.8,417
10357,9.4,No Different than U.S. National Rate,6.6,13.1,66,19.5,No Different than U.S. National Rate,15.6,24,75
10358,15.2,No Different than U.S. National Rate,11.1,20.5,95,17.3,No Different than U.S. National Rate,13.7,21.6,94
10359,13.1,No Different than U.S. National Rate,9.3,18.5,71,17.6,No Different than U.S. National Rate,13.8,22,76
10360,11.3,No Different than U.S. National Rate,9.2,13.8,415,17.6,No Different than U.S. National Rate,15,20.7,423
10361,8.7,Better than U.S. National Rate,6.7,11.1,288,18.6,No Different than U.S. National Rate,15.6,22,310
10362,11.7,No Different than U.S. National Rate,9.5,14.2,414,16.2,No Different than U.S. National Rate,13.6,19.4,406
10363,13.4,No Different than U.S. National Rate,11,16.2,417,19.3,No Different than U.S. National Rate,16.4,22.4,412
10364,9.7,No Different than U.S. National Rate,7.9,12,413,17.3,No Different than U.S. National Rate,14.6,20.4,441
10365,13.6,No Different than U.S. National Rate,9.6,18.5,63,17.2,No Different than U.S. National Rate,13.5,22,62
10366,8.9,Better than U.S. National Rate,6.9,11.3,218,16.9,No Different than U.S. National Rate,14.1,20.2,207
10367,15,No Different than U.S. National Rate,11,20.1,111,19.4,No Different than U.S. National Rate,15.4,24.3,117
10368,11.1,No Different than U.S. National Rate,8.4,14.6,190,19.3,No Different than U.S. National Rate,15.8,23.4,198
10369,11.7,No Different than U.S. National Rate,9.6,14.2,456,20.7,No Different than U.S. National Rate,17.8,23.8,461
10370,14.6,No Different than U.S. National Rate,10.5,19.5,58,18.5,No Different than U.S. National Rate,14.7,22.7,62
10371,9.7,No Different than U.S. National Rate,7.2,12.6,249,16.4,No Different than U.S. National Rate,13.5,19.8,257
10372,11,No Different than U.S. National Rate,8.2,14.6,186,17.7,No Different than U.S. National Rate,14.6,21.3,190
10373,9.4,No Different than U.S. National Rate,6.9,12.6,98,17.5,No Different than U.S. National Rate,14,21.6,106
